,time,comp_angle,gyro_angle,accel_angle,control,frequency
499,1622659207.2189922,0,0,0,-50.0,184
500,1622659207.2244318,0,0,0,-50.0,184
501,1622659207.2298555,0,0,0,-50.0,183
502,1622659207.2353632,0,0,0,-50.0,184
503,1622659207.2409124,0,0,0,-50.0,181
504,1622659207.246387,0,0,0,-50.0,180
505,1622659207.251946,0,0,0,-50.0,182
506,1622659207.2574303,0,0,0,-50.0,179
507,1622659207.2629266,0,0,0,-50.0,182
508,1622659207.268448,0,0,0,-50.0,181
509,1622659207.273942,0,0,0,-50.0,181
510,1622659207.2795198,0,0,0,-50.0,182
511,1622659207.28502,0,0,0,-50.0,179
512,1622659207.3061862,0,0,0,-50.0,135
513,1622659207.3133116,0,0,0,-50.0,51
514,1622659207.3622782,0,0,0,-50.0,19
515,1622659207.367761,0,0,0,-50.0,178
516,1622659207.3732271,0,0,0,-50.0,182
517,1622659207.3789225,0,0,0,-50.0,182
518,1622659207.38393,0,0,0,-50.0,175
519,1622659207.388869,0,0,0,-50.0,199
520,1622659207.3938642,0,0,0,-50.0,202
521,1622659207.3988707,0,0,0,-50.0,200
522,1622659207.4038687,0,0,0,-50.0,199
523,1622659207.4088373,0,0,0,-50.0,200
524,1622659207.413843,0,0,0,-50.0,201
525,1622659207.418803,0,0,0,-50.0,199
526,1622659207.4238045,0,0,0,-50.0,201
527,1622659207.4287448,0,0,0,-50.0,199
528,1622659207.433715,0,0,0,-50.0,202
529,1622659207.4390416,0,0,0,-50.0,201
530,1622659207.4468386,0,0,0,-50.0,187
531,1622659207.4534402,0,0,0,-50.0,128
532,1622659207.4585538,0,0,0,-50.0,151
533,1622659207.4635653,0,0,0,-50.0,196
534,1622659207.468559,0,0,0,-50.0,199
535,1622659207.4735236,0,0,0,-50.0,200
536,1622659207.4785385,0,0,0,-50.0,201
537,1622659207.4840064,0,0,0,-50.0,199
538,1622659207.4894917,0,0,0,-50.0,182
539,1622659207.495024,0,0,0,-50.0,182
540,1622659207.5005035,0,0,0,-50.0,180
541,1622659207.5059767,0,0,0,-50.0,182
542,1622659207.511456,0,0,0,-50.0,182
543,1622659207.51693,0,0,0,-50.0,182
544,1622659207.5223844,0,0,0,-50.0,182
545,1622659207.527827,0,0,0,-50.0,183
546,1622659207.533274,0,0,0,-50.0,183
547,1622659207.5387175,0,0,0,-50.0,183
548,1622659207.5442588,0,0,0,-50.0,183
549,1622659207.549779,0,0,0,-50.0,180
550,1622659207.5552738,0,0,0,-50.0,181
551,1622659207.5607638,0,0,0,-50.0,182
552,1622659207.5662704,0,0,0,-50.0,182
553,1622659207.571758,0,0,0,-50.0,181
554,1622659207.5772424,0,0,0,-50.0,182
555,1622659207.5827315,0,0,0,-50.0,182
556,1622659207.5882027,0,0,0,-50.0,182
557,1622659207.5936813,0,0,0,-50.0,182
558,1622659207.5991557,0,0,0,-50.0,182
559,1622659207.604634,0,0,0,-50.0,182
560,1622659207.6100802,0,0,0,-50.0,182
561,1622659207.6155257,0,0,0,-50.0,183
562,1622659207.6210005,0,0,0,-50.0,183
563,1622659207.626441,0,0,0,-50.0,182
564,1622659207.6318889,0,0,0,-50.0,183
565,1622659207.6373289,0,0,0,-50.0,183
566,1622659207.6427991,0,0,0,-50.0,183
567,1622659207.6483002,0,0,0,-50.0,182
568,1622659207.6538117,0,0,0,-50.0,181
569,1622659207.6592813,0,0,0,-50.0,181
570,1622659207.6647696,0,0,0,-50.0,182
571,1622659207.6702666,0,0,0,-50.0,182
572,1622659207.6757448,0,0,0,-50.0,182
573,1622659207.6812327,0,0,0,-50.0,182
574,1622659207.686709,0,0,0,-50.0,182
575,1622659207.6921823,0,0,0,-50.0,182
576,1622659207.6976528,0,0,0,-50.0,182
577,1622659207.703135,0,0,0,-50.0,182
578,1622659207.708611,0,0,0,-50.0,182
579,1622659207.714083,0,0,0,-50.0,182
